No;Especie;Luz;Microbio;Cosecha;Tiempo;Evento;NSC;Lignina;AMF_Imp;PHN_Imp;NSC_Imp;LIG_Imp
425;Acne;Baja;Control;NA;63;1;NA;NA;48.45;0.03;8.44;7.72
427;Acne;Baja;Control;3;21;0;NA;4.55;50.51;0.1;9.39;8.25
429;Acne;Baja;Control;6;42;0;NA;4.55;70;-0.08;8.43;5.31
430;Acru;Baja;Control;3;21;0;NA;4.92;67.56;0.03;9.88;11.53
442;Acne;Baja;Control;9;63;0;NA;4.77;72.41;0.02;9.39;5.37
445;Acne;Baja;Control;NA;63;1;NA;NA;48.45;0.03;8.44;7.72
462;Acru;Baja;Control;6;42;0;NA;6.34;72.41;0.02;9.39;5.37
466;Acsa;Baja;Control;NA;63;1;NA;NA;47.42;0.01;8.09;7.28
485;Acsa;Baja;Control;3;21;0;NA;13.53;48.45;0.03;8.44;7.72
486;Acsa;Baja;Control;6;42;0;NA;11.33;67.56;0.03;9.88;11.53
492;Acsa;Baja;Control;9;63;0;NA;13.11;74.88;0.04;10.12;7.03
507;Acsa;Baja;Control;NA;17;1;NA;NA;48.45;0.03;8.44;7.72
512;Acne;Baja;Control;NA;63;1;NA;NA;47.06;-0.09;7.49;7.75
518;Acru;Baja;Control;9;63;0;NA;5.46;48;-0.04;7.02;10.53
524;Acru;Baja;Control;NA;36;1;NA;NA;60;0.04;8.41;5.37
543;Acne;Baja;Control;3;21;0;NA;5.53;67.56;0.03;9.88;11.53
570;Acsa;Baja;Control;NA;63;1;NA;NA;65.27;-0.03;9.01;10.11
583;Acne;Baja;Control;6;42;0;NA;5.32;62;0.01;10.23;14.75
592;Acsa;Baja;Control;3;21;0;NA;13.01;83.72;0.09;11.34;11.05
596;Acne;Baja;Control;9;63;0;NA;5.59;71.63;0.14;11.66;6.77
597;Acne;Baja;Control;NA;63;1;NA;NA;31;-0.16;5.47;8.56
614;Acru;Baja;Control;NA;63;1;NA;NA;72;0.11;10.33;7.01
624;Acsa;Baja;Control;6;42;0;NA;13.96;68.42;0.03;9.8;11.62
626;Acru;Baja;Control;3;21;0;NA;6.84;48.45;0.03;8.44;7.72
628;Acsa;Baja;Control;9;63;0;NA;14.33;70;-0.01;8.79;3.78
640;Acru;Baja;Control;6;42;0;NA;9.32;63.61;-0.05;8.86;11.24
642;Acru;Baja;Control;9;63;0;NA;4.13;43.29;0.16;11.15;6.6
653;Acsa;Baja;Control;NA;63;1;NA;NA;64;-0.17;8.75;12.17
660;Acru;Baja;Control;NA;63;1;NA;NA;65;-0.03;8.39;4.96
678;Acsa;Baja;Control;NA;63;1;NA;NA;67.56;0.03;9.88;11.53
692;Acsa;Baja;Control;3;21;0;NA;12.49;52.21;-0.11;5.06;8.61
698;Acsa;Baja;Control;6;42;0;NA;9.09;48.45;0.03;8.44;7.72
699;Acne;Baja;Control;NA;63;1;NA;NA;46.71;-0.04;7.66;7.7
702;Acsa;Baja;Control;9;63;0;NA;12.52;61.39;-0.08;7.58;5.88
713;Acne;Baja;Control;3;21;0;NA;4.82;65.52;0.16;11.19;12.2
714;Acru;Baja;Control;NA;63;1;NA;NA;67.56;0.03;9.88;11.53
715;Acne;Baja;Control;6;42;0;NA;4.33;64.47;0.16;10.92;11.97
717;Acsa;Baja;Control;NA;63;1;NA;NA;75;0.04;9.83;7.94
719;Acne;Baja;Control;9;63;0;NA;4.17;67.56;0.03;9.88;11.53
721;Acru;Baja;Control;3;21;0;NA;5.16;52.75;0.08;8.83;8.53
724;Acne;Baja;Control;NA;63;1;NA;NA;48.45;0.03;8.44;7.72
733;Acru;Baja;Control;6;42;0;NA;8.13;59.91;-0.02;8.41;10.16
741;Acru;Baja;Control;9;63;0;NA;6.42;39.86;-0.12;5.87;8.51
745;Acru;Baja;Control;NA;63;1;NA;NA;72.41;0.02;9.39;5.37
766;Acne;Baja;Control;NA;63;1;NA;NA;85.07;-0.05;9.87;5.35
776;Acru;Baja;Control;NA;63;1;NA;NA;47;0.18;11.21;7.02
778;Acne;Baja;Control;3;21;0;NA;3.71;72.41;0.02;9.39;5.37
786;Acsa;Baja;Control;NA;63;1;NA;NA;28.28;-0.21;5.46;9.93
789;Acsa;Baja;Control;3;21;0;NA;15.04;79.31;0.23;13.81;7.82
790;Acru;Baja;Control;3;21;0;NA;10.3;61.57;-0.1;7.48;5.86
805;Acne;Baja;Control;6;42;0;NA;4.6;72.41;0.02;9.39;5.37
806;Acru;Baja;Control;6;42;0;NA;3.04;52.43;-0.09;5.64;8.55
814;Acne;Baja;Control;9;63;0;NA;6;65;-0.09;7.98;1.79
825;Acsa;Baja;Control;6;42;0;NA;14.28;58;-0.13;6.71;9.6
830;Acsa;Baja;Control;9;63;0;NA;14.28;63;0.01;8.51;3.79
834;Acsa;Baja;Control;NA;63;1;NA;NA;72.95;0.09;10.23;11.95
835;Acru;Baja;Control;9;63;0;NA;4.14;70;0.14;10.61;10.62
840;Acne;Baja;Control;NA;63;1;NA;NA;52.11;0.03;8.48;8.24
847;Acru;Baja;Control;NA;57;1;NA;NA;48.45;0.03;8.44;7.72
858;Acsa;Baja;Control;NA;63;1;NA;NA;72.41;0.02;9.39;5.37
874;Acsa;Baja;Control;3;21;0;NA;9.38;66.64;0.15;10.67;11.42
897;Acsa;Baja;Control;6;42;0;NA;12.86;39.97;-0.11;6.83;7.23
904;Acru;Baja;Control;NA;63;1;NA;NA;35.05;0.03;7.78;3.65
907;Acsa;Baja;Control;9;63;0;NA;13.73;48.45;0.03;8.44;7.72
915;Acne;Baja;Control;NA;63;1;NA;NA;64;0;8.36;5.24
926;Acne;Baja;Control;3;21;0;NA;4.61;67.56;0.03;9.88;11.53
927;Acsa;Baja;Control;NA;63;1;NA;NA;49;0.06;8.46;10.76
929;Acne;Baja;Control;6;42;0;NA;5.06;72.41;0.02;9.39;5.37
934;Acru;Baja;Control;3;21;0;NA;3.43;45;-0.06;7.2;10.98
935;Acru;Baja;Control;6;42;0;NA;8.41;65;-0.09;7.74;7.57
945;Acne;Baja;Control;9;63;0;NA;5.57;52.21;-0.1;4.37;8.56
946;Acru;Baja;Control;9;63;0;NA;6.22;64.48;0.19;11.82;12.05
961;Acne;Baja;Control;NA;52;1;NA;NA;48.45;0.03;8.44;7.72
987;Acru;Baja;Control;NA;63;1;NA;NA;67.56;0.03;9.88;11.53
997;Acne;Baja;Control;NA;63;1;NA;NA;48.45;0.03;8.44;7.72
1009;Acne;Baja;Control;3;21;0;NA;4.38;71;0.14;11.26;7.4
1019;Acsa;Baja;Control;NA;63;1;NA;NA;61;-0.01;9.98;14.88
1022;Acne;Baja;Control;6;42;0;NA;6.33;72.41;0.02;9.39;5.37
1029;Acsa;Baja;Control;3;21;0;NA;13.56;39.97;-0.11;6.82;7.23
1032;Acsa;Baja;Control;6;42;0;NA;13.7;52;-0.17;7.94;12.17
1042;Acsa;Baja;Control;9;63;0;NA;14.13;34.3;-0.12;5.39;9.2
1045;Acne;Baja;Control;9;63;0;NA;6.16;63.69;-0.01;8.58;10.87
1050;Acru;Baja;Control;NA;63;1;NA;NA;69;0;9.49;12.06
1051;Acru;Baja;Control;3;21;0;NA;2.5;67.7;0;9.35;11.32
1055;Acru;Baja;Control;6;42;0;NA;4.98;80.64;0.26;14.17;8.15
1058;Acne;Baja;Control;NA;52;1;NA;NA;48.45;0.03;8.44;7.72
1059;Acru;Baja;Control;9;63;0;NA;2.27;35.13;-0.13;6.52;6.8
1064;Acsa;Baja;Control;NA;63;1;NA;NA;26.09;-0.19;6.66;8.1
1075;Acru;Baja;Control;NA;63;1;NA;NA;84;0;10.12;5.78
1105;Acru;Baja;Control;NA;33;1;NA;NA;67.56;0.03;9.88;11.53
1107;Acru;Baja;Control;3;21;0;NA;4.87;69;-0.28;7.91;7.2
1128;Acne;Baja;Control;NA;63;1;NA;NA;48.45;0.03;8.44;7.72
1135;Acne;Baja;Control;3;21;0;NA;2.95;35.23;-0.13;6.17;7.1
1136;Acne;Baja;Control;6;42;0;NA;5.35;55.91;-0.12;6.83;11.45
1140;Acru;Baja;Control;6;42;0;NA;4.09;48.45;0.03;8.44;7.72
1148;Acne;Baja;Control;9;63;0;NA;6.57;63;0.11;9.64;3.99
1155;Acru;Baja;Control;9;63;0;NA;3.56;52.21;-0.1;4.39;8.56
1172;Acsa;Baja;Control;NA;63;1;NA;NA;48.45;0.03;8.44;7.72
1173;Acsa;Baja;Control;3;21;0;NA;13.37;73.75;0.08;10.28;11.84
1174;Acru;Baja;Control;NA;63;1;NA;NA;62;-0.1;7.35;6.42
1184;Acsa;Baja;Control;6;42;0;NA;11.73;67.56;0.03;9.88;11.53
1187;Acsa;Baja;Control;9;63;0;NA;14.01;64.04;-0.01;8.74;11.18
1193;Acsa;Baja;Control;NA;26;1;NA;NA;67.56;0.03;9.88;11.53
1195;Acne;Baja;Control;NA;63;1;NA;NA;72.41;0.02;9.39;5.37
1262;Acsa;Alta;Control;NA;63;1;NA;NA;83.04;0.4;14.75;7.84
1264;Acne;Alta;Control;NA;63;1;NA;NA;50.65;0.4;14.27;8.27
1268;Acne;Alta;Control;3;21;0;NA;4.56;50.78;0.03;8.73;8.58
1273;Acne;Alta;Control;6;42;0;NA;5.93;87.11;0.45;17.75;8.44
1276;Acsa;Alta;Control;3;21;0;NA;10.17;52.72;0.28;12.54;7.77
1278;Acne;Alta;Control;9;63;0;NA;4.9;83.04;0.4;14.75;7.84
1279;Acsa;Alta;Control;6;42;0;NA;12.83;44.65;0.16;10.61;7.86
1282;Acsa;Alta;Control;9;63;0;NA;10.56;87.11;0.45;17.11;8.27
1283;Acru;Alta;Control;NA;63;1;NA;NA;71;0.06;9.23;7.42
1290;Acru;Alta;Control;6;42;0;NA;6.34;64.6;0.47;14.3;12.69
1296;Acne;Alta;Control;NA;63;1;NA;NA;66.25;0.04;8.75;10.56
1304;Acsa;Alta;Control;NA;63;1;NA;NA;51;0.19;11.21;5.69
1309;Acru;Alta;Control;9;63;0;NA;9.52;38.01;0.2;11.29;6.22
1363;Acru;Alta;Control;NA;63;1;NA;NA;38.01;0.2;11.29;6.22
1387;Acne;Alta;Control;NA;63;1;NA;NA;78.44;0.51;18.32;13.82
1392;Acru;Alta;Control;NA;47;1;NA;NA;77.32;0.48;16.11;14.77
1395;Acru;Alta;Control;3;21;0;NA;6.12;50.67;0.27;12.43;7.71
1401;Acru;Alta;Control;6;42;0;NA;5.74;65.16;0;8.35;5.65
1412;Acru;Alta;Control;9;63;0;NA;7.09;80;0.49;14.53;6.26
1418;Acru;Alta;Control;NA;63;1;NA;NA;39.69;0.16;10.77;6.76
1427;Acne;Alta;Control;3;21;0;NA;6.3;83;0.18;13.68;8.97
1444;Acsa;Alta;Control;NA;63;1;NA;NA;83.04;0.4;14.75;7.84
1449;Acne;Alta;Control;6;42;0;NA;6.09;45.95;0.14;10.36;7.34
1459;Acsa;Alta;Control;3;21;0;NA;10.99;70;-0.05;8.43;7.8
1462;Acsa;Alta;Control;6;42;0;NA;13.37;83.04;0.4;14.75;7.84
1473;Acsa;Alta;Control;9;63;0;NA;12.5;67;0.15;11.01;7.29
1474;Acru;Alta;Control;NA;63;1;NA;NA;38.01;0.2;11.29;6.22
1475;Acne;Alta;Control;9;63;0;NA;4.24;79;0.47;16.24;12.31
1477;Acru;Alta;Control;3;21;0;NA;4.58;78.44;0.51;18.32;13.82
1482;Acsa;Alta;Control;NA;63;1;NA;NA;36.96;0.25;11.94;8.93
1483;Acne;Alta;Control;NA;54;1;NA;NA;63;0.6;15.21;13.54
1496;Acru;Alta;Control;9;63;0;NA;8.22;85.62;0.21;12.9;7.53
1500;Acru;Alta;Control;NA;63;1;NA;NA;78.26;0.51;16.27;12.99
1522;Acsa;Alta;Control;NA;63;1;NA;NA;78.44;0.51;18.32;13.82
1530;Acsa;Alta;Control;3;21;0;NA;9.31;62.11;0.52;15.12;12.93
1531;Acru;Alta;Control;NA;63;1;NA;NA;83;0.49;17.82;14.35
1539;Acru;Alta;Control;3;21;0;NA;5.3;61;0.3;12.47;9.96
1544;Acru;Alta;Control;6;42;0;NA;5.79;60;0.34;13.8;16.2
1547;Acsa;Alta;Control;6;42;0;NA;13.88;76;0.25;11.72;5.58
1548;Acru;Alta;Control;9;63;0;NA;10.19;43;0.1;9.73;8.08
1563;Acru;Alta;Control;NA;63;1;NA;NA;49.19;0.05;9.02;8.43
1565;Acsa;Alta;Control;9;63;0;NA;11.47;83.04;0.4;14.75;7.84
1567;Acsa;Alta;Control;NA;63;1;NA;NA;45;0.07;9.14;8.49
1598;Acne;Alta;Control;NA;63;1;NA;NA;45.29;0.15;10.5;7.71
1612;Acsa;Alta;Control;NA;63;1;NA;NA;77.7;0.48;15.77;13.67
1616;Acne;Alta;Control;3;21;0;NA;3.85;86.48;0.45;16.64;8.19
1617;Acne;Alta;Control;6;42;0;NA;3.57;83.04;0.4;14.75;7.84
1621;Acsa;Alta;Control;3;21;0;NA;7.7;50;-0.02;7.81;8.22
1635;Acne;Alta;Control;9;63;0;NA;5.54;78.44;0.51;18.32;13.82
1644;Acsa;Alta;Control;6;42;0;NA;10.9;80;0.26;13.61;9.56
1650;Acne;Alta;Control;NA;63;1;NA;NA;38.01;0.2;11.29;6.22
1658;Acsa;Alta;Control;9;63;0;NA;13.02;66;0.05;8.81;6.07
1660;Acsa;Alta;Control;NA;63;1;NA;NA;38.01;0.2;11.29;6.22
1694;Acne;Alta;Control;NA;63;1;NA;NA;38.01;0.2;11.29;6.22
1697;Acsa;Alta;Control;NA;63;1;NA;NA;81;0.29;14.47;9.08
1705;Acru;Alta;Control;NA;63;1;NA;NA;84.47;0.46;15.79;8
1708;Acsa;Alta;Control;3;21;0;NA;7.58;83.04;0.4;14.75;7.84
1712;Acsa;Alta;Control;6;42;0;NA;7.34;38.62;0.21;11.48;6.54
1715;Acru;Alta;Control;3;21;0;NA;5.07;39;0.11;9.82;7.68
1720;Acsa;Alta;Control;9;63;0;NA;10.8;84.12;0.33;13.61;8.27
1727;Acsa;Alta;Control;NA;63;1;NA;NA;87.11;0.45;18.12;8.46
1734;Acne;Alta;Control;3;21;0;NA;5.68;83.04;0.4;14.75;7.84
1738;Acne;Alta;Control;6;42;0;NA;5.94;85.19;0.2;12.93;7.63
1752;Acne;Alta;Control;9;63;0;NA;5.17;70;0.13;11.16;13.6
1757;Acne;Alta;Control;NA;63;1;NA;NA;84.12;0.33;13.61;8.27
1766;Acsa;Alta;Control;NA;63;1;NA;NA;78.44;0.51;18.32;13.82
1773;Acsa;Alta;Control;3;21;0;NA;8.69;64;0.66;15.03;9.45
1788;Acne;Alta;Control;NA;63;1;NA;NA;50.27;0.25;12.1;7.75
1795;Acsa;Alta;Control;6;42;0;NA;13.09;75;0.53;15.03;9.82
1796;Acne;Alta;Control;3;21;0;NA;3.11;63.86;0.04;8.64;11.06
1806;Acsa;Alta;Control;9;63;0;NA;11.92;83.04;0.4;14.75;7.84
1809;Acne;Alta;Control;6;42;0;NA;5.94;45;0.04;9.15;6.28
1813;Acne;Alta;Control;9;63;0;NA;5.96;85.17;0.46;16.15;8.04
1815;Acsa;Alta;Control;NA;63;1;NA;NA;83.33;0.39;15.1;8.74
1823;Acne;Alta;Control;NA;63;1;NA;NA;78.44;0.51;19.22;13.74
1851;Acru;Alta;Control;6;42;0;NA;6.68;38.01;0.2;11.29;6.22
1852;Acru;Alta;Control;9;63;0;NA;6.28;79;0.06;11.94;13.3
1864;Acne;Alta;Control;NA;63;1;NA;NA;81;0.18;13.48;8.98
1872;Acsa;Alta;Control;NA;63;1;NA;NA;78.44;0.51;18.32;13.82
1880;Acsa;Alta;Control;3;21;0;NA;11.04;72;0.24;11.86;7.79
1883;Acru;Alta;Control;NA;32;1;NA;NA;38.01;0.2;11.29;6.22
1884;Acsa;Alta;Control;6;42;0;NA;12.76;65.98;0.43;14;12.81
1909;Acru;Alta;Control;NA;63;1;NA;NA;90;0.15;13.05;7.84
1915;Acne;Alta;Control;3;21;0;NA;3.9;26.97;0.14;11.04;7.92
1918;Acsa;Alta;Control;9;63;0;NA;10.38;30.23;0.15;11.01;5.8
1921;Acne;Alta;Control;6;42;0;NA;5.55;46;-0.01;8.36;10.78
1922;Acsa;Alta;Control;NA;63;1;NA;NA;66.48;0.36;13.3;12.43
1933;Acne;Alta;Control;9;63;0;NA;5.31;78.44;0.51;18.32;13.82
1935;Acne;Alta;Control;NA;63;1;NA;NA;52.3;0.25;12.01;7.77
1974;Acru;Alta;Control;3;21;0;NA;5.21;38.01;0.2;11.29;6.22
1980;Acne;Alta;Control;NA;63;1;NA;NA;50.35;0.05;8.95;8.18
1983;Acru;Alta;Control;6;42;0;NA;7.31;83.99;0.23;12.35;6.46
1985;Acsa;Alta;Control;NA;63;1;NA;NA;78.44;0.51;19.16;13.74
1989;Acne;Alta;Control;3;21;0;NA;5.38;53.02;0.25;12.02;7.86
1996;Acne;Alta;Control;6;42;0;NA;6.73;77.7;0.48;15.77;13.67
1999;Acne;Alta;Control;9;63;0;NA;6.08;51.44;0.39;14.47;8.52
2002;Acru;Alta;Control;9;63;0;NA;6.53;76.71;0.46;15.47;12.39
2003;Acru;Alta;Control;NA;63;1;NA;NA;73;0.61;15.94;13.6
2006;Acne;Alta;Control;NA;33;1;NA;NA;79;0.54;14.91;6.88
2048;Acru;Alta;Control;NA;63;1;NA;NA;78.35;0.32;13.55;7.82
2053;Acsa;Alta;Control;3;21;0;NA;8.86;33;0.17;10.94;6.06
2072;Acsa;Alta;Control;6;42;0;NA;11.32;48.91;0.09;9.91;12.23
2076;Acru;Alta;Control;3;21;0;NA;6.09;83.04;0.4;14.75;7.84
2078;Acru;Alta;Control;6;42;0;NA;4.73;76.97;0.47;15.63;12.96
2085;Acru;Alta;Control;9;63;0;NA;5.64;38.01;0.2;11.29;6.22
2092;Acru;Alta;Control;NA;20;1;NA;NA;38.01;0.2;11.29;6.22
2111;Acsa;Alta;Control;9;63;0;NA;6.49;78.44;0.51;18.32;13.82
2117;Acru;Alta;Control;NA;63;1;NA;NA;31;0.16;11.02;8.59
2123;Acru;Alta;Control;3;21;0;NA;5.98;38.01;0.2;11.29;6.22
2124;Acsa;Alta;Control;NA;63;1;NA;NA;28;0.23;11.57;6.42
2145;Acne;Alta;Control;NA;63;1;NA;NA;83.04;0.4;14.75;7.84
2149;Acru;Alta;Control;6;42;0;NA;2.55;53;0.14;11.24;13.01
2151;Acru;Alta;Control;9;63;0;NA;6.49;86.36;-0.04;9.7;4.5
2153;Acne;Alta;Control;3;21;0;NA;5.27;85.98;0.41;14.88;7.99
2155;Acru;Alta;Control;NA;63;1;NA;NA;64.1;0.01;8.27;5.91
2166;Acne;Alta;Control;6;42;0;NA;6.67;85;0.12;11.05;7.25
2172;Acne;Alta;Control;9;63;0;NA;6.67;49.66;0.24;12.13;7.87
2177;Acsa;Alta;Control;NA;63;1;NA;NA;49.21;0.36;13.33;7.98
2193;Acne;Alta;Control;NA;63;1;NA;NA;65;0.25;12.15;12.75
2199;Acsa;Alta;Control;3;21;0;NA;9.51;37.5;0.17;10.65;6.71
2229;Acsa;Alta;Control;6;42;0;NA;10.2;83;0.33;13.09;7.36
2246;Acru;Alta;Control;NA;63;1;NA;NA;38.42;0.2;11.43;6.34
2248;Acru;Alta;Control;3;21;0;NA;4.55;39.25;0.24;11.77;7.69
2251;Acru;Alta;Control;6;42;0;NA;6.17;65.03;0.5;14.49;12.47
2259;Acsa;Alta;Control;9;63;0;NA;11.68;78.5;0.51;16.21;13.11
2261;Acne;Alta;Control;NA;63;1;NA;NA;83.04;0.4;14.75;7.84
2262;Acsa;Alta;Control;NA;22;1;NA;NA;69;-0.04;8.45;7.22
2267;Acne;Alta;Control;3;21;0;NA;5.43;79;0.22;11.96;4.49
2270;Acne;Alta;Control;6;42;0;NA;6.34;86.99;0.46;21.31;8.43
2276;Acru;Alta;Control;9;63;0;NA;10.31;72;0.11;10.56;12.71
2279;Acru;Alta;Control;NA;63;1;NA;NA;64.89;0.5;14.41;12.7
2294;Acne;Alta;Control;9;63;0;NA;5.13;88;0.13;11.19;4.69
2302;Acne;Alta;Control;NA;63;1;NA;NA;38.08;0.19;11.41;6.45
2316;Acru;Alta;Control;NA;63;1;NA;NA;38.01;0.2;11.29;6.22
2317;Acru;Alta;Control;3;21;0;NA;4.16;83.04;0.4;14.75;7.84
2341;Acru;Alta;Control;6;42;0;NA;5.73;83.67;0.52;17.99;15.82
2344;Acsa;Alta;Control;NA;63;1;NA;NA;83.9;0.24;12.52;6.92
2345;Acsa;Alta;Control;3;21;0;NA;9.37;78.44;0.51;18.32;13.82
2351;Acsa;Alta;Control;6;42;0;NA;9.61;35;0.11;9.97;5.03
2366;Acsa;Alta;Control;9;63;0;NA;8.98;78.44;0.51;18.32;13.82
2367;Acne;Alta;Control;NA;63;1;NA;NA;87.11;0.45;17.51;8.44
2370;Acru;Alta;Control;9;63;0;NA;9.36;77.5;0.5;16.04;13.67
2372;Acru;Alta;Control;NA;63;1;NA;NA;38.01;0.2;11.29;6.22
2376;Acne;Alta;Control;3;21;0;NA;4.79;38.01;0.2;11.29;6.22
2377;Acsa;Alta;Control;NA;63;1;NA;NA;78.44;0.51;18.32;13.82
2397;Acne;Alta;Control;6;42;0;NA;6.42;70;0.32;13.74;17.74
2398;Acne;Alta;Control;9;63;0;NA;5.41;78.44;0.51;18.32;13.82
2399;Acne;Alta;Control;NA;63;1;NA;NA;76;0.07;9.93;6.48
11;Acru;Baja;Grande;6;42;0;NA;2.7;0.8;0.05;7.07;9.57
13;Acne;Baja;Grande;6;42;0;NA;4.86;0.78;0.39;11.83;10.82
17;Acne;Baja;Grande;NA;63;1;NA;NA;1;0.35;10.18;6.2
39;Acru;Baja;Grande;3;21;0;NA;6.87;0;0.59;13;13.44
42;Acsa;Baja;Grande;6;42;0;NA;11.8;0;-0.06;5.82;6.55
51;Acsa;Baja;Grande;3;21;0;NA;10.38;0;0.27;11.71;14.49
54;Acne;Baja;Grande;3;21;0;NA;5.79;0.69;-0.03;2.92;8.54
61;Acne;Baja;Grande;6;42;0;NA;4.47;0.69;-0.03;4.03;8.54
65;Acne;Baja;Grande;9;63;0;NA;6.44;0.74;-0.03;4.8;8.49
71;Acne;Baja;Grande;NA;22;1;NA;NA;0;0.24;11.54;17.18
73;Acsa;Baja;Grande;6;42;0;NA;10.58;0.69;-0.03;2.75;8.54
77;Acru;Baja;Grande;3;21;0;NA;5.81;0;-0.02;5.6;5.02
97;Acne;Baja;Grande;NA;49;1;NA;NA;7.54;0.38;12.97;11.6
99;Acne;Baja;Grande;3;21;0;NA;6.06;1.65;0.06;2.23;9.69
111;Acsa;Baja;Grande;9;63;0;NA;11.72;0.67;-0.02;5.73;7.52
117;Acne;Baja;Grande;9;63;0;NA;5.5;0;0;6.62;1.95
122;Acru;Baja;Grande;NA;24;1;NA;NA;0;-0.08;5.72;7.93
124;Acru;Baja;Grande;9;63;0;NA;10.41;0.69;-0.03;2.92;8.54
127;Acru;Baja;Grande;6;42;0;NA;10.11;0.67;-0.02;5.73;7.52
131;Acru;Baja;Grande;NA;24;1;NA;NA;0.69;-0.03;2.98;8.54
138;Acne;Baja;Grande;6;42;0;NA;4.9;0;-0.06;6.59;11.82
142;Acru;Baja;Grande;NA;63;1;NA;NA;0;0.19;11.06;13.86
151;Acru;Baja;Grande;3;21;0;NA;7.24;-0.03;0.17;8.7;5.93
155;Acru;Baja;Grande;6;42;0;NA;3.42;0.69;-0.03;4.06;8.54
159;Acru;Baja;Grande;3;21;0;NA;7.07;0;-0.02;6.39;5.35
169;Acru;Baja;Grande;9;63;0;NA;7.03;0.38;0.2;8.95;7.64
170;Acsa;Baja;Grande;NA;63;1;NA;NA;0.69;-0.03;3.48;8.54
171;Acsa;Baja;Grande;3;21;0;NA;12.22;0.39;0.21;9.06;7.65
181;Acsa;Baja;Grande;9;63;0;NA;17.3;0.38;0.2;8.95;7.64
186;Acru;Baja;Grande;6;42;0;NA;10.36;0;0.35;11.4;12.01
199;Acru;Baja;Grande;NA;63;1;NA;NA;0.94;0.05;6.29;9.48
213;Acsa;Baja;Grande;3;21;0;NA;13.61;0;0.2;9.26;7.23
233;Acsa;Baja;Grande;NA;23;1;NA;NA;0;0.42;11.48;11.32
238;Acne;Baja;Grande;NA;40;1;NA;NA;0;-0.02;4.8;9.13
249;Acsa;Baja;Grande;NA;29;1;NA;NA;0.69;-0.03;2.92;8.54
259;Acsa;Baja;Grande;6;42;0;NA;11.54;0;0.09;7.99;5.35
264;Acne;Baja;Grande;9;63;0;NA;8.54;0.03;0.01;6.75;5.34
294;Acne;Baja;Grande;NA;63;1;NA;NA;0.67;-0.02;5.73;7.52
299;Acsa;Baja;Grande;NA;63;1;NA;NA;0;-0.03;4.88;8.13
317;Acsa;Baja;Grande;6;42;0;NA;12.61;0.69;-0.03;4.51;8.54
323;Acne;Baja;Grande;NA;63;1;NA;NA;0;0.21;8.99;4.44
327;Acru;Baja;Grande;9;63;0;NA;3.78;0;0.01;6.45;7.84
335;Acsa;Baja;Grande;9;63;0;NA;11.53;0;0.23;8.85;10.19
355;Acne;Baja;Grande;3;21;0;NA;5.5;0.6;-0.02;5.7;7.5
361;Acsa;Baja;Grande;3;21;0;NA;7.72;0.38;0.02;6.85;5.3
363;Acne;Baja;Grande;6;42;0;NA;7.13;0;0.08;6.97;10.18
402;Acru;Baja;Grande;NA;42;1;NA;NA;0.69;-0.03;3.16;8.54
403;Acru;Baja;Grande;9;63;0;NA;8.25;0.67;-0.02;5.73;7.52
409;Acne;Baja;Grande;9;63;0;NA;5.31;0.37;0.24;9.29;8.87
411;Acsa;Baja;Grande;NA;63;1;NA;NA;0.69;-0.03;2.92;8.54
412;Acne;Baja;Grande;NA;31;1;NA;NA;0.69;-0.03;1.88;8.54
413;Acru;Baja;Grande;NA;21;1;NA;NA;0.78;0.39;11.87;10.86
415;Acsa;Baja;Grande;9;63;0;NA;10.71;0.64;0;6.67;5.08
421;Acne;Baja;Grande;NA;31;1;NA;NA;0.6;-0.01;5.82;7.18
448;Acru;Baja;Grande;NA;36;1;NA;NA;0.67;-0.02;5.73;7.52
452;Acsa;Baja;Grande;NA;63;1;NA;NA;0;-0.04;4.59;8.65
459;Acru;Baja;Grande;3;21;0;NA;6.68;0.69;-0.03;3.19;8.54
461;Acru;Baja;Grande;NA;63;1;NA;NA;0;0.02;6.85;3.85
469;Acru;Baja;Grande;6;42;0;NA;7.61;0.38;0.2;8.95;7.64
477;Acsa;Baja;Grande;3;21;0;NA;10.53;0.69;-0.03;1.29;8.54
481;Acne;Baja;Grande;3;21;0;NA;5.37;0;0.15;10.07;12.31
482;Acne;Baja;Grande;NA;63;1;NA;NA;0;0.51;10.74;6.3
489;Acsa;Baja;Grande;NA;32;1;NA;NA;0.38;0.2;8.95;7.64
491;Acsa;Baja;Grande;NA;63;1;NA;NA;0.85;0.05;6.77;9.5
500;Acne;Baja;Grande;6;42;0;NA;8.56;0;0.43;10.68;8.52
514;Acsa;Baja;Grande;6;42;0;NA;14.75;0.06;0;6.56;4.55
528;Acsa;Baja;Grande;6;42;0;NA;11.05;0;0.37;11.86;12.99
542;Acru;Baja;Grande;3;21;0;NA;8.56;0.05;-0.01;6.68;4.7
544;Acne;Baja;Grande;9;63;0;NA;7.01;0.6;-0.01;4.19;7.77
560;Acne;Baja;Grande;3;21;0;NA;3.78;0.3;0.35;10.98;11.61
573;Acne;Baja;Grande;6;42;0;NA;1.77;0.67;-0.02;5.73;7.52
591;Acsa;Baja;Grande;9;63;0;NA;12.17;0;-0.06;6.44;3.18
605;Acsa;Baja;Grande;NA;59;1;NA;NA;0.69;-0.03;2.92;8.54
608;Acne;Baja;Grande;NA;31;1;NA;NA;0;0.01;6.9;6.61
